cell file		cell number	cat  no	cell id	cell line	clone	TTX	condition	dpp	Rs	Rm	Cm	Pk Ina	Max Ikpk	Max Iklt	Max Ikin	Slope Ikpk	Slope Iklt	Pct inact	hyperpol	RMP, mV	InputRes, GOhms	length	Events	Frequency	Peak, pA	T(rise), ms	Tau(decay), ms	Duration, ms	Individual Peaks (pA)	Individual peak times (s)	First AP Mean Amplitude, mV	First AP Max Amplitude, mV	First AP Mean Potential Difference of Spike, mV	First AP Max Potential Differnece of Spike, mV	First AP Mean Threshold Potential	First AP Mean Threshold to Peak, S	First AP Mean AP Width, S	First AP Event number	First AP Frequency, Hz	First AP Mean Spike Height, mV	First AP Membrane Potential	Ih current (current injected at baseline)	First AP Mean AHP	First AP Current Step Size (pA)	Most AP Mean Amplitude, mV	Most AP Max Amplitude, mV	Most AP Mean Potential Difference of Spike, mV	Most AP Max Potential Differnece of Spike, mV	Most AP Mean Threshold Potential	Most AP Mean Threshold to Peak, S	Most AP Mean AP Width, S	Most AP Event number	Most AP Frequency, Hz	Most AP Mean Spike Height, mV	Most AP Membrane Potential	Most AP Mean AHP	Most AP Current Injection	Sweep no. first AP	Sweep no. most AP
cell1_0509_0000.abf	509_cell1_LV	509	30	cell1	LV	0	0	con	7			11.69	-1988.52529617512	1621.09367300218	1535.78978010449	210.687536495855	232.11053264473	254.216323506258	12.1810140740226	-17.4676796018774	-74.0938126912826	1.84095168337529	201	0	0.000							95.7031271391316	95.7031271391316	31.2042243302812	31.2042243302812	-37.2009285658805	0.00384000000000001	0.00314	1	5	70.7397476749066	-68.0337539620791	-5.09894696851621	5.86944593197357	5.01009553523876	78.1046566936918	87.3413105459804	24.7290044589863	32.3785407627793	-35.4512540476056	0.00496666666666668	0.00399333333333333	3	15	61.5437839276941	-79.5161455761525	27.5040187625492	18.9457893556714	3	10
cell2_0509_0000.abf	509_cell2_LV	509	32	cell2	LV	0	0	con	7			13.98	-1445.31243135134	1283.56927497123	1206.25808072665	1226.57406748491	172.213896926133	208.271559203638	18.4159860557868	-23.6874523719302	-71.044313111402	1.30220107376338	61	0	0.000							98.083498286087	98.083498286087	33.5375984058737	33.5375984058737	-37.6892098267945	0.00533999999999998	0.00332	1	5	73.3337418735119	-76.4807146001022	-22.0685468944825	14.0417483607325	12.9620648820812	80.5562355245305	84.2590350864612	27.0391851746854	31.1572272589183	-35.6953946780626	0.00478	0.0038	3	15	64.0970880212232	-71.2879959781765	19.1334537968066	24.0029142346541	13	24
cell3_0509_0000.abf	509_cell3_LV	509	35	cell3	LV	0	0	con	7			16.61	-2778.32018053687	4200.43925361484	4139.69474385124	243.820905457819	705.856632391564	715.491078690902	4.99633680606811	-18.4558677989886	-60.1620496845708	1.61040501454478										91.3696309485204	91.3696309485204	27.8912359749802	27.8912359749802	-42.3278818054769	0.00231999999999999	0.0029	1	5	73.1506364006691	-57.4423230612797	-82.8556051278055	-3.10455329204844	14.9229242040001	74.0153011335376	82.702638567298	21.090495263076	26.7724615359111	-36.051433097479	0.00465333333333334	0.00355333333333333	3	15	58.9701347816269	-60.2131666290723	9.11656717968259	48.9463697731173	8	25
cell4_0509_0000.abf	509_cell4_LV	509	493	cell4	LV	0	0	con	7			23.19	-3992.91973222149	4344.48221552317	4136.46860003126	504.964168723822	616.023972275733	705.693974545257	12.1746546097126	-13.8346347595568																																								
cell5_0509_0000.abf	509_cell5_LV	509	36	cell5	LV	0	0	con	7			13.38	-2324.82899113905	3674.92658326285	3603.63171127716	192.580441001729	589.250074037919	595.887034069981	4.26981896568375	-40.661037875252	-55.1885388312165	1.14190941008361	15	1	0.067							76.6906755422952	79.3457048985147	25.7931524319906	26.6223150481801	-32.775879638848	0.00330999999999999	0.00286	2	10	61.1114515612599	-51.6949474445346	-32.2329552096322	3.3398438246513	17.0298995651543	60.5977389846734	68.3898941067582	15.8860273733095	23.2983403645085	-34.7595222613109	0.00750666666666667	0.00460666666666667	3	15	51.7171235518011	-55.0173962492659	11.3772585550828	33.0705028582565	5	9
cell6_cc_0509_0000.abf	509_cell6_LV	509	38	cell6	LV	0	0	cc	7			10.12	-1083.98432351351	1788.94034471739	1692.09790140049	110.095790901683	298.461972530447	296.944662167367	5.65046528828997	-0.871930762156939	-68.7609878650534	2.52390929558128	60	0	0.000							76.1108415449599	76.1108415449599	21.5667729429924	21.5667729429924	-30.0598151250142	0.00488	0.0035	1	5	53.5278332276903	-68.7785354728669	-18.2998923589464	16.1357120305831	12.9216038484907	67.3675552167197	74.2492692377255	16.4547733170116	20.5944828821975	-28.2592779753941	0.00486	0.00434	2	10	45.8679209471029	-68.7307754620338	18.9718632170229	17.0143112213074	4	5
cell7_cc_0509_0000.abf	509_cell7_LV	509	39	cell7	LV	0	0	cc	7			25.48	-3760.98614948774	2528.07605179783	2473.43505736933	415.678458678952	346.095283034534	423.890909229035	18.8728079908353	-2.99362895007216	-79.2138689580685	0.354511404925105	39	0	0.000							93.4448263074046	93.4448263074046	34.6710212827702	34.6710212827702	-35.6750496255245	0.0035	0.00236	1	5	74.5544450257967	-86.6403217607809	-42.5754461502494	32.0748908536484	69.0632870062946	80.0170916322714	87.6770039128587	30.1712042876602	36.6210945685452	-26.8707281396701	0.003745	0.003375	4	20	59.2575086487273	-56.616669966653	8.98635884343888	101.08209160797	18	26
cell8_cc_0509_0000.abf	509_cell8_LV	509	42	cell8	LV	0	0	cc	7			12.3	-6037.59736947951	3022.46079394082	2965.26213594332	185.721252339428	532.655908702357	530.066162918306	4.48861666171985	-2.32514869908517	-90.1881734025821	1.58672539214656	170	3	0.018	-9.8858	0.8	1.4316	4.05			110.961916542692	110.961916542692	50.1568614726557	50.1568614726557	-30.6091315435424	0.00414000000000001	0.00236	1	5	85.2050800294819	-85.0195331503347	-26.578451332606	28.6535650935821	26.1198058605358	93.8644430160025	106.445314879238	41.0197457899096	50.1104747528689	-27.4200445581983	0.00439	0.00314	4	20	71.3729874351543	-77.7893083793515	27.877808240305	56.0571640142019	6	12
cell1_cc_0609_0000.abf	609_cell1_LV	609	68	cell1	LV	0	0	cc	8			29.38	-4047.24101870387	3028.56430927591	2644.62413033947	609.305216595269	347.899849555567	377.521670004221	27.1236182214585	-79.6363429436672	-77.2843645204094	-0.273273485558026	66	16	0.242	-23.627	0.95	8.4106	7.4			82.2448748851912	82.2448748851912	31.2542731595249	31.2542731595249	-37.6892098267945	0.00497999999999998	0.00308	1	5	71.2280289358205	-45.4148874897112	-31.9681143820137	-3.29116828645399	6.87363328109212	75.6123877577769	83.5571307738974	24.9145513381336	28.5742193886836	-35.3902188899914	0.00392666666666667	0.00362666666666667	3	15	62.3168959241412	-53.3412182332847	4.65550750965764	27.0134211150252	4	14
cell1(2)_cc_0609_0012.abf	609_cell1(2)_LV	609	494	cell1(2)	LV	0	0	cc	8			26.76	-2976.07407739407	3582.76350170286	3401.43096753296	465.436640839374	487.623994305994	565.581439818401	16.4452984947948	-58.7681333693777	-70.8349625207853	0.48129047731304	190	102	0.537	-30.205	0.85	4.5766	5.05																															
