cell file,Rs,Rm,Cm,Pk_Ina,Max_Ikpk,Max_Ikin,Pct_inact,hyperpol,RMP_mV,InputRes_GOhms,length,Events,Frequency,Peak_pA,Trise_ms,Taudecay_ms,Duration_ms,First_AP_Mean_Amplitude_mV,First_AP_Mean_Potential_Difference_of_Spike_mV,First_AP_Mean_Threshold_Potential,First_AP_Mean_Threshold_to_Peak_S,First_AP_Mean_AP_Width_S,First_AP_Mean_Spike_Height_mV,First_AP_Membrane_Potential,Ih_current_current_injected_at_baseline,First_AP_Mean_AHP,First_AP_Current_Step_Size_pA,Most_AP_Mean_Amplitude_mV,Most_AP_Max_Amplitude_mV,Most_AP_Mean_Threshold_Potential,Most_AP_Mean_Threshold_to_Peak_S,Most_AP_Mean_AP_Width_S,Most_AP_Event_number,Most_AP_Mean_Spike_Height_mV,Most_AP_Mean_AHP,Most_AP_Current_Injection,Sweep_no_first_AP,Sweep_no_most_AP,First_AP_Event_number_2.0,First_AP_Frequency_Hz_10.0
141217_cell6_cc_0001.abf,0.35251271214333757,0.13141872063959634,0.23274978449882947,0.8007025761124125,0.1872776731533787,0.11505374512375824,0.41046956697559117,0.427974434611603,0.6210388068375949,0.35171948887844595,0.13703382480485687,0.004100227790432802,0.01366120218579235,0.9956655982143163,0.033707865168539325,0.49736573230864906,0.026578073089701004,0.7413027387120679,0.6794004579543307,0.7330812854442351,0.19080068143101198,0.23931623931623933,0.6477229958599925,0.4923507530253006,0.969163713832308,0.3708190364605128,0.17354143661005456,0.6435752434809934,0.6093557652851882,0.8026920946808248,0.24361158432709334,0.41617357001971883,0.33333333333333337,0.5553287055941202,0.43556428463514096,0.1741134783767607,0.4230769230769231,0.9285714285714286,0,0
151217_cell2_con_0002.abf,0.4422599875131037,0.24268776556526644,0.24748906441547183,0.9140515222482435,0.1502406361163416,0.234758019181302,0.8687508584719212,0.47271386430678486,0.8411538413513535,0.408916176255731,0.18907198612315695,0.03143507972665149,0.07103825136612021,0.9964713776074143,0.0898876404494382,0.5696814890497979,0.04152823920265781,0.4319022945965975,0.4374041552003026,0.5519848771266547,0.6175468483816045,0.4387464387464387,0.5470455400827999,0.5583019033871959,0.9442403426012479,0.5113642703712986,0.17193151928471867,0.4145460257618606,0.5289290110791975,0.7412892195814988,0.16524701873935976,0.4142011834319527,0.33333333333333337,0.4283380971825228,0.45531501153492826,0.12582707831401233,0.19230769230769235,0.3214285714285714,1,1
151217_cell3_con_0002.abf,0.27696199045845105,0.22018237759550552,0.23172966233840883,0.9666276346604215,0.19784473739276012,0.012316235967497355,0.035773664449249204,0.3807767944936091,0.870543604482872,0.17581567836910128,0.004336513443191671,0.001366742596810934,0.021857923497267756,0.9841272187391863,0.02247191011235955,0.5018186664297454,0.008859357696566997,0.06661732050333125,0.24347205008087722,0.9637051039697544,0.2589437819420762,0.9999999999999999,0.19232216785848658,0.6797999865485036,0.583052542336037,0.7583584400368217,0.43085565597623915,0.08482563619227168,0.07386130488305337,0.9206819331069855,0.2589437819420762,1.0,0.0,0.20865659452837854,0.6047259376937721,0.17445603519647762,1.0000000000000002,0.9285714285714286,0,0
020118_cell3_cc_0001.abf,0.44621643546148104,0.06781390544310029,0.5220247570747107,0.9668618266978921,0.2790332705586944,0.3484489719435119,0.5865287455066927,0.6204523107177977,0.7604423845539963,0.0,0.1500433651344319,0.0387243735763098,0.10683060109289616,0.9816705451753182,0.0898876404494382,0.5355932655146373,0.037652270210409754,0.46817172464841034,0.358559334495725,0.47599243856332685,0.3151618398637111,0.2735042735042734,0.5370718855852464,0.3998820406959669,0.4726636377470066,0.567997321951627,0.6905492977480568,0.5358152686145147,0.5687320475995101,0.441017120566351,0.9727427597955708,0.40976331360946744,0.16666666666666666,0.5102082482645975,0.35870245259742106,0.3213496263718666,0.7692307692307694,0.8214285714285714,0,0
020118_cell4_cc_0003.abf,0.2626796914598133,0.033579761977370594,0.9999999999999999,0.6319672131147536,0.6132035990793043,0.5459175851319342,0.7122701452749288,0.44149459193706997,0.6501515971907641,0.08922509327757394,0.0,0.0173120728929385,0.22677595628415298,0.9577450955033335,0.11235955056179775,0.5351872417929012,0.040420819490586936,0.7642487046632152,0.6169989286389519,0.639319470699434,0.2419080068143165,0.24786324786324784,0.6533684606699283,0.6027746304717896,0.47158757418317077,0.10271082656847147,1.0,0.5926013195098967,0.6881411571604461,0.7632016181463553,0.21351504826803053,0.38017751479289946,0.8333333333333334,0.5411052130121141,0.4479250567941142,0.8254579174142027,0.4230769230769231,0.8214285714285714,0,0
030118_cell2_cc_0001.abf,0.15810002329165715,0.2731448986588655,0.21799400052279552,0.6036299765807968,0.29263444235195635,0.2783844096553833,0.7463060898363534,0.4070796460176993,0.8236466644645042,0.5226067986656305,0.4796183868169991,0.011389521640091117,0.01174863387978142,0.9652295464046086,0.06741573033707865,0.5132397494558215,0.037652270210409754,0.807920059215399,0.7482301535617508,0.6272211720226838,0.28790459965929055,0.04273504273504278,0.7945050809183289,0.4829269428363059,0.8703180365644225,0.43234092113705513,0.06855445035282104,0.6520970782280866,0.7057858022158419,0.7603120710828573,0.27683134582624125,0.18565088757396453,0.5,0.6044303797468354,0.4513554120550892,0.1329668381779714,0.19230769230769235,0.7142857142857143,0,0
040118_cell1_con_0001.abf,0.42049609559973056,0.08456252195095432,0.2711402936006474,0.867564402810305,0.2746390458254856,0.32909732040951845,0.8013160810174881,0.710668633235005,0.6616209945365947,0.26930838578315763,0.1500433651344319,0.008200455580865604,0.02349726775956284,0.980472603917828,0.0449438202247191,0.5252267780196348,0.01937984496124031,0.7623982235381226,0.6296031762704035,0.761814744801513,0.2419080068143165,0.4273504273504273,0.5912683477606318,0.2733086032687224,0.9027738527423319,0.5482257929533864,0.5513773598921637,0.38375746151429535,0.6992203528929044,0.9577644537552068,0.2623509369676383,0.6183431952662721,0.33333333333333337,0.32244453518442956,0.8051426595865951,0.37771884066431277,0.6153846153846154,0.9642857142857142,0,0
100118_cell4_con_0001.abf,0.06694372792625658,0.26953490615360187,0.309900193314374,0.6481264637002335,0.6374764595103573,0.2466313476312963,0.36877800159373775,0.5228613569321536,0.7070070707517893,0.3889722281761369,0.3061578490893322,0.0856492027334852,0.12909836065573768,0.9870463810671402,0.02247191011235955,0.0,0.026024363233665554,0.6857883049592925,0.7232002184736259,0.6400756143667302,0.21465076660988747,0.19088319088319092,0.7312758750470459,0.719699203774701,0.9017738744809893,0.23800806204145353,0.22409871638917145,0.5630694313540685,0.741075092326634,0.6745888415324242,0.4071550255536677,0.48865877712031064,0.8333333333333334,0.608071321627875,0.5465646859709481,0.3216391404255955,0.15384615384615385,0.5357142857142857,0,0
110118_cell2_cc_0002.abf,0.47156729159154587,0.17631582231167847,0.0,0.8944964871194371,0.12565390249006111,0.16094577789891493,0.697667028859844,0.45624385447394317,0.7887821484233539,0.4994299975674264,0.4796183868169991,0.034168564920273356,0.03551912568306011,0.983739824800197,0.011235955056179789,0.5198916085469325,0.040420819490586936,0.5954848260547774,0.698191290464887,0.6559546313799641,0.23679727427597758,0.19088319088319092,0.7011667293940536,0.6932023364220083,0.8592313210582383,0.40274639439841553,0.13831474145553468,0.5732799245994342,0.5289290110791975,0.749837462977679,0.1558773424190873,0.2914201183431953,0.16666666666666666,0.5892200898325842,0.4914741629645826,0.09773483216237205,0.15384615384615385,0.24999999999999997,0,0
120118_cell3_cc_0001.abf,0.14712303669399165,0.6615802270627059,0.21555124076862994,0.7907494145199063,0.4065704122201287,0.47898744527536796,0.8329130495851867,0.4768928220255656,0.5572828516390775,0.4963002636621345,0.4796183868169991,0.19362186788154898,0.19398907103825133,0.924805882857079,0.06741573033707865,0.536655857136511,0.03820598006644519,0.6550703182827557,0.6546541184379127,0.6877126654064271,0.15332197614992205,0.02279202279202283,0.7056831012420017,0.375726251636175,0.9173387535053589,0.7560814015119812,0.12012752501709659,0.5636192271442046,0.6590069757899082,0.7364733078090002,0.2078364565587802,0.12228796844180478,0.33333333333333337,0.5656730638355797,0.6870368533789589,0.09115513308459611,0.07692307692307693,0.14285714285714285,0,0
120118_cell4_cc_0003.abf,1.0,0.16987404578980642,0.3431689934317448,0.6244730679156905,0.44517681523331176,0.4752227313765899,0.8978021820195975,0.43436578171091467,0.7253667335260754,0.40589268055220484,0.11535125758889853,0.28929384965831434,0.9644808743169397,0.9911777884287931,0.07865168539325842,0.5239580649460264,0.03599114064230343,0.7242783123612173,0.7233472680293263,0.47599243856332685,0.2623509369676383,0.12820512820512817,0.8340233345878808,0.5073233067924949,0.8281885176409214,0.49081513097330215,0.11856885042492257,0.5126060320452405,0.6910135412392306,0.699270389366467,0.2397785349233455,0.4260355029585799,0.5,0.6039199673336056,0.6125394731841859,0.1954777113883835,0.07692307692307693,0.3214285714285714,0,0
150118_cell1_cc_0003.abf,0.05664872972043716,0.06695643282353356,0.7324211722897754,0.14929742388758815,0.9594057334170318,0.8861557330971149,0.9073803950566415,0.4633726647000986,0.7110856084263291,0.20282993548065043,0.4535993061578491,0.001822323462414579,0.0024590163934426223,0.9808719176703247,0.39325842696629215,0.5025551952378836,0.12347729789590256,0.6998519615099958,0.6407684389639314,0.7890359168241984,0.039182282793866804,0.02849002849002849,0.6503575461046287,0.5412417803577119,0.9705441186061173,0.4395137668424131,0.2760851106972626,0.5532516493873707,0.6647517439474793,0.49134339858893916,0.5053946621237946,0.19428007889545856,0.33333333333333337,0.689397032802504,0.5293183686672587,0.15330810810363743,0.19230769230769235,0.24999999999999997,0,0
150118_cell4_cc_0001.abf,0.10440985255948457,0.03133230502582735,0.9955744036806274,0.11850117096018797,0.9611843481899973,0.786109738854913,0.7234005056576687,0.031710914454276984,0.8575168028260292,0.13032605787751447,0.0372940156114484,0.0031890660592255125,0.02431693989071038,0.9555435059485231,0.011235955056179789,0.5456816667407045,0.013289036544850502,0.9211695040710677,0.7838791672793723,0.43969754253308124,0.15332197614992205,0.019943019943019974,0.9499435453519007,0.6115439734695078,0.49497837003543455,0.16063059670265278,0.6896911325275036,0.9051209550738308,0.9015182601559324,0.5532278648655152,0.19534355479841403,0.06804733727810652,0.33333333333333337,0.8291819790390639,0.3020019519935632,0.5522028338407827,0.5,0.9285714285714286,0,0
160118_cell1_con_0001.abf,0.028074113821561025,0.0,0.6814573114722763,0.0,0.9749947687800786,0.6346012980597263,0.6597135181003831,0.4353490658800396,0.5484481010905213,0.13966929178167625,0.09800520381613181,0.0,0.0016393442622950817,0.9852715208358934,0.0,0.4940944427168939,0.0,0.8508512213175465,0.7312564334180616,0.4207939508506624,0.2844974446337369,0.008547008547008544,0.909296198720361,0.4128627377940648,0.43474054911849846,0.4682051496638495,0.636633537292673,1.0,1.0,0.48183197283825874,0.2091141396933628,0.0,0.5,0.9073091057574516,0.39519249752293195,0.5098001731740811,0.4615384615384616,0.8571428571428571,0,0
170118_cell1_con_0001.abf,0.36749256247751183,0.13004896153870682,0.3948010299327679,0.7662763466042155,0.1863360535676911,0.13118579970359248,0.42294587724534044,0.4402654867256639,0.8111965110511004,0.3999177851919273,0.4796183868169991,0.14031890660592256,0.14207650273224043,0.9951697339724099,0.0898876404494382,0.5116058815690107,0.03654485049833887,0.5836417468541848,0.6440980610465724,0.3194706994328935,0.26575809199318345,0.17663817663817663,0.8287542340986073,0.5489194824276911,0.8984913371448447,0.5456314335927679,0.03359698247595403,0.596764059063777,0.6446450553959817,0.387801295480267,0.4923339011925086,0.3481262327416124,0.33333333333333337,0.7664352797060029,0.40313950265873344,0.0695021917858268,0.038461538461538464,0.17857142857142858,0,0
170118_cell2_con_0001.abf,0.1577015016594683,0.2638106857226378,0.37081885849796226,0.2468384074941451,0.4643230801422895,0.1719332913139021,0.3101956390442533,0.6312684365781709,0.45869529929519315,0.1895892545232161,0.4796183868169991,0.12938496583143508,0.13114754098360654,0.9967681809637478,0.11235955056179775,0.5306161432188707,0.058693244739756366,0.9096965210954908,0.9214755372560541,0.4979206049149357,0.33219761499147926,0.23931623931623933,0.9450508091832891,0.3530449538768845,0.869991956696594,0.5753410327224031,0.2411560004494262,0.760053408733899,0.9171112022979102,0.622817789978088,0.4097103918228329,0.5305719921104437,0.8333333333333334,0.7792296175309655,0.7297601161185896,0.349487833025315,0.2692307692307692,0.8928571428571428,0,0
170118_cell3_con_0001.abf,0.6186110688577738,0.8173125477682974,0.1374046186612963,0.9309133489461356,0.049487340447792266,0.06987717833841545,0.5188472567033675,0.3392330383480825,0.696658050997049,0.5846396345427021,0.4796183868169991,0.001822323462414579,0.0027322404371584695,0.9944462012925128,0.06741573033707865,0.536655857136511,0.03820598006644519,0.35381199111769196,0.574827216772053,0.7739130434782607,0.2333901192504324,0.5128205128205128,0.5321791494166348,0.5533533036365663,0.9281537357883526,0.842329902083857,0.12017628023893925,0.45051837888784174,0.39228559704554905,0.7393628548724984,0.2333901192504324,0.4940828402366864,0.0,0.577378521845651,0.6716859904142836,0.048660095520023414,0.07692307692307693,0.07142857142857142,0,0
180118_cell1_con_0001.abf,0.28054092341378034,0.13995069274304478,0.5812798067003823,0.8234192037470724,0.2921113203599076,0.2598674684428387,0.616970499497868,0.6993608652900695,0.7971401425501674,0.2636876167333489,0.4796183868169991,1.0,0.9999999999999999,0.9915198870764546,0.06741573033707865,0.5123681755586157,0.04152823920265781,0.7342709104367162,0.6957229586370605,0.5742911153119106,0.21635434412265575,0.12820512820512817,0.7692886714339481,0.6113111590536393,0.7849829351535836,0.3025183418417163,0.2771241310828368,0.6420043983663215,0.6766516208453042,0.6021093693563532,0.31232254400908593,0.23767258382642015,0.33333333333333337,0.6054171770790794,0.293682344097722,0.2162810884494316,0.19230769230769235,0.3571428571428571,0,0
180118_cell2_cc_0001.abf,0.21486525383934188,0.6419567853098782,0.026677717672100754,0.9999999999999999,0.10912324754132666,0.10021634328739545,0.5743619911421174,0.4768928220255656,0.632942960634675,1.0,0.4796183868169991,0.00592255125284738,0.005464480874316939,0.9993942350775554,0.011235955056179789,0.7455555061969703,0.07475083056478407,0.373797187268692,0.42257840892380727,0.7187145557655963,0.39522998296423,0.3874643874643875,0.4554008280015049,0.4677448560948294,1.0,0.7268878846207487,0.034981766934800075,0.47596606974552425,0.4144439885104659,0.6866286209636646,0.39522998296423,0.363905325443787,0.0,0.4940792160065328,0.5796308637432475,0.014164326913115918,0.11538461538461539,0.10714285714285712,0,0
180118_cell3_cc_0001.abf,0.21067425882520316,0.3724959731980727,0.2856215668367106,0.8871194379391094,0.3386691776522287,0.1378464473706624,0.42648581833908733,0.4921337266470012,0.7091819881423842,0.5548898922581291,0.4796183868169991,0.0,0.0,0.9916688847452966,0.0,0.49443027853049615,0.0027685492801771856,0.5706883789785375,0.6507783122912423,0.6650283553875243,0.4207836456558823,0.36752136752136744,0.6537448249905905,0.5372606538463582,0.971554966196387,0.5801775601863475,0.08787034232161897,0.7266729500471267,0.6327451784981566,0.6353391605865786,0.4207836456558823,0.3431952662721894,0.0,0.7092690894242545,0.4626419389431977,0.03557922779974436,0.23076923076923078,0.21428571428571427,0,0
190118_cell1_cc_0002.abf,0.05930034381194427,0.3216304078340519,0.2863107670694611,0.666510538641686,0.4137894957103986,0.2732398684905369,0.41381624383690924,0.5710422812192726,0.4939968420562726,0.5928708124131541,0.04596704249783174,0.001822323462414579,0.01366120218579235,0.9789945470429146,0.13483146067415733,0.5435635911332237,0.020487264673311183,0.5817912657290922,0.7603092242085574,0.6869565217391308,0.2674616695059688,0.42165242165242156,0.7124576590139252,1.0,0.8712854068389817,0.06450330571595933,0.0,0.7408105560791713,0.6450553959786651,0.6562883767969373,0.2674616695059688,0.3994082840236686,0.0,0.772968558595345,0.05143586459133704,0.0,0.0,0.0,0,0
190118_cell2_cc_0011.abf,0.17409885051394777,0.2778923808322215,0.25140576755791333,0.666510538641686,0.4137894957103986,0.2732398684905369,0.41381624383690924,0.5710422812192726,0.5013967828022594,0.40280111595102036,0.4796183868169991,0.22095671981776766,0.22131147540983606,0.9936201582164524,0.0449438202247191,0.5073848340811158,0.037652270210409754,1.0,0.5552171081654509,0.06011342155009625,0.0800681431005189,0.005698005698005715,0.9966127211140382,0.3640053392106113,0.8546988108954159,0.08214425195971765,0.24155023171691464,0.7650015708451154,0.7418957734920006,0.512774205976548,0.260647359454853,0.2613412228796746,0.33333333333333337,0.6040560773104664,0.38297075624457144,0.3924846723316799,0.2692307692307692,1.0,0,0
